1,0.3954,0.9000, 0.4259, 0.9067 
2,0.4135,0.9000, 0.4082, 0.9067 
3,0.5133,0.8000, 0.4069, 0.9067 
4,0.4133,0.9000, 0.4067, 0.9067 
5,0.3133,1.0000, 0.4067, 0.9067 
6,0.6133,0.7000, 0.4067, 0.9067 
7,0.5133,0.8000, 0.4067, 0.9067 
8,0.4133,0.9000, 0.4066, 0.9067 
9,0.3133,1.0000, 0.4066, 0.9067 
10,0.5133,0.8000, 0.4066, 0.9067 
11,0.5133,0.8000, 0.4066, 0.9067 
12,0.5133,0.8000, 0.4066, 0.9067 
13,0.4133,0.9000, 0.4067, 0.9067 
14,0.3133,1.0000, 0.4066, 0.9067 
15,0.4133,0.9000, 0.4067, 0.9067 
16,0.4133,0.9000, 0.4066, 0.9067 
17,0.3133,1.0000, 0.4066, 0.9067 
18,0.4133,0.9000, 0.4067, 0.9067 
19,0.6133,0.7000, 0.4066, 0.9067 
20,0.6133,0.7000, 0.4066, 0.9067 
21,0.5133,0.8000, 0.4067, 0.9067 
22,0.3133,1.0000, 0.4066, 0.9067 
23,0.4133,0.9000, 0.4066, 0.9067 
24,0.3133,1.0000, 0.4066, 0.9067 
25,0.3133,1.0000, 0.4066, 0.9067 
26,0.3133,1.0000, 0.4066, 0.9067 
27,0.4133,0.9000, 0.4066, 0.9067 
28,0.5133,0.8000, 0.4066, 0.9067 
